name,ingredient
"Protein Pizza","white rice flour"
"Protein Pizza","Sodium"
"Protein Pizza","Dietary Fiber"
"Protein Pizza","Total Sugars"
"Protein Pizza","Protein"
"Protein Pizza","Calcium"
"Protein Pizza","Iron"
"Protein Pizza","Potassium"
"Ginger Chicken","Vegetable Oil, divided"
"Ginger Chicken","Saturated Fat"
"Ginger Chicken","Cholesterol"
"Ginger Chicken","Sodium"
"Ginger Chicken","Total Carbohydrate"
"Ginger Chicken","Dietary Fiber"
"Ginger Chicken","Total Sugars"
"Ginger Chicken","Protein"
"Ginger Chicken","Vitamin D"
"Ginger Chicken","Calcium"
"Ginger Chicken","Iron"
"Ginger Chicken","Potassium"
"Fried Rice","cooked and chilled white rice"
"Fried Rice","Saturated Fat"
"Fried Rice","Cholesterol"
"Fried Rice","Sodium"
"Fried Rice","Total Carbohydrate"
"Fried Rice","Dietary Fiber"
"Fried Rice","Total Sugars"
"Fried Rice","Protein"
"Fried Rice","Vitamin D"
"Fried Rice","Calcium"
"Fried Rice","Iron"
"Fried Rice","Potassium"
"Meat Loaf","Lean Ground Beef"
"Meat Loaf","Saturated Fat"
"Meat Loaf","Cholesterol"
"Meat Loaf","Sodium"
"Meat Loaf","Total Carbohydrate"
"Meat Loaf","Dietary Fiber"
"Meat Loaf","Total Sugars"
"Meat Loaf","Protein"
"Meat Loaf","Vitamin D"
"Meat Loaf","Calcium "
"Meat Loaf","Iron"
"Meat Loaf","Potassium"
"Ratatouille","Tomatoes"
"Ratatouille","Saturated Fat"
"Ratatouille","Cholesterol"
"Ratatouille","Sodium"
"Ratatouille","Total Carbohydrate"
"Ratatouille","Dietary Fiber"
"Ratatouille","Total Sugars"
"Ratatouille","Protein"
"Ratatouille","Vitamin D"
"Ratatouille","Calcium"
"Ratatouille","Iron"
"Ratatouille","Potassium "
"Devil Fruit Cake","cake flour "
"Devil Fruit Cake","Saturated Fat"
"Devil Fruit Cake","Cholesterol"
"Devil Fruit Cake","Sodium"
"Devil Fruit Cake","Total Carbohydrate"
"Devil Fruit Cake","Dietary Fiber"
"Devil Fruit Cake","Total Sugars"
"Devil Fruit Cake","Protein"
"Devil Fruit Cake","Vitamin D"
"Devil Fruit Cake","Calcium"
"Devil Fruit Cake","Iron"
"Devil Fruit Cake","Potassium"
"Borscht Soup","red beetroots"
"Borscht Soup","Saturated Fat"
"Borscht Soup","Cholesterol"
"Borscht Soup","Sodium"
"Borscht Soup","Total Carbohydrate"
"Borscht Soup","Dietary Fiber"
"Borscht Soup","Total Sugars"
"Borscht Soup","Protein"
"Borscht Soup","Vitamin D"
"Borscht Soup","Calcium"
"Borscht Soup","Iron"
"Borscht Soup","Potassium"
"Beef Jerky","Salt"
"Beef Jerky","Saturated Fat"
"Beef Jerky","Cholesterol"
"Beef Jerky","Sodium"
"Beef Jerky","Total Carbohydrate"
"Beef Jerky","Dietary Fiber"
"Beef Jerky","Total Sugars"
"Beef Jerky","Protein"
"Beef Jerky","Vitamin D"
"Beef Jerky","Calcium"
"Beef Jerky","Iron"
"Beef Jerky","Potassium"
"Red Lentil Curry","red lentils"
"Red Lentil Curry","Saturated Fat"
"Red Lentil Curry","Cholesterol"
"Red Lentil Curry","Sodium"
"Red Lentil Curry","Total Carbohydrate"
"Red Lentil Curry","Dietary Fiber"
"Red Lentil Curry","Total Sugars"
"Red Lentil Curry","Protein"
"Red Lentil Curry","Vitamin D"
"Red Lentil Curry","Calcium"
"Red Lentil Curry","Iron"
"Red Lentil Curry","Potassium"
"Fruit Smoothie","nonfat plain yogurt"
"Fruit Smoothie","Saturated Fat"
"Fruit Smoothie","Cholesterol"
"Fruit Smoothie","Sodium"
"Fruit Smoothie","Total Carbohydrate"
"Fruit Smoothie","Dietary Fiber"
"Fruit Smoothie","Total Sugars"
"Fruit Smoothie","Protein"
"Fruit Smoothie","Vitamin D"
"Fruit Smoothie","Calcium"
"Fruit Smoothie","Iron"
"Fruit Smoothie","Potassium"
"Greek Yogurt","PC Greek Yogurt"
"Greek Yogurt","blueberries"
"Greek Yogurt","chopped strawberries"
"Greek Yogurt","honey"
"Protein Shake","Oat milk"
"Protein Shake","banana"
"Protein Shake","creamy peanut butter"
"Protein Shake","ground flax seeds"
"Protein Shake","protein powder"
"Protein Shake","cinnamon"
"Protein Shake","ice cubes"
"Chili Lime Shrimp","uncooked shrimp"
"Chili Lime Shrimp","garlic cloves, minced"
"Chili Lime Shrimp","paprika"
"Chili Lime Shrimp","ground ancho chile pepper"
"Chili Lime Shrimp","ground cumin"
"Chili Lime Shrimp","salt"
"Chili Lime Shrimp","pepper"
"Chili Lime Shrimp","medium lime"
"Chili Lime Shrimp","crushed tortilla chips"
"Chili Lime Shrimp","chopped fresh cilantro"
"Chili Lime Shrimp","olive oil"
"Chili Lime Shrimp","cherry tomatoes"
"Chili Lime Shrimp","medium avocado, peeled and cubed"
